date,symbol,direction,entry,exit,qty,pnl,charges,net_pnl,capital_after,exit_reason
2019-12-23,360ONE,SHORT,277.75,276.25,100,150.00,24.82,125.18,197519,TIME
2019-12-24,360ONE,SHORT,273.35,269.37,100,398.15,24.30,373.86,197893,TARGET
2019-12-24,360ONE,SHORT,270.00,270.00,100,0.00,24.20,-24.20,197869,TIME
2019-12-27,360ONE,LONG,275.00,279.26,100,425.77,24.86,400.91,198269,TARGET
2019-12-27,360ONE,LONG,280.10,276.18,100,-392.32,24.91,-417.23,197852,STOP_LOSS
2019-12-30,360ONE,LONG,282.10,279.68,100,-242.24,25.16,-267.40,197585,STOP_LOSS
2019-12-30,360ONE,LONG,279.75,279.49,100,-25.93,25.06,-50.98,197534,STOP_LOSS
2019-12-31,360ONE,LONG,281.25,279.20,100,-204.70,25.10,-229.80,197304,STOP_LOSS
2019-12-31,360ONE,LONG,280.00,279.09,100,-91.44,25.05,-116.48,197188,STOP_LOSS
2020-01-01,360ONE,LONG,280.00,280.27,100,26.70,25.11,1.59,197189,TARGET
2020-01-01,360ONE,LONG,284.55,286.75,100,220.00,25.61,194.39,197384,TIME
2020-01-02,360ONE,LONG,282.95,282.82,100,-12.82,25.35,-38.17,197345,STOP_LOSS
2020-01-02,360ONE,SHORT,281.50,283.54,100,-204.08,25.33,-229.41,197116,STOP_LOSS
2020-01-03,360ONE,LONG,284.75,285.02,100,27.41,25.53,1.88,197118,TARGET
2020-01-03,360ONE,LONG,285.40,286.97,100,156.74,25.66,131.09,197249,TARGET
2020-01-06,360ONE,SHORT,284.70,286.49,100,-178.71,25.60,-204.31,197045,STOP_LOSS
2020-01-06,360ONE,SHORT,289.90,288.60,100,129.76,25.92,103.84,197148,TARGET
2020-01-07,360ONE,SHORT,282.25,280.00,100,225.00,25.18,199.82,197348,TIME
2020-01-08,360ONE,SHORT,278.75,278.81,100,-5.98,24.98,-30.97,197317,STOP_LOSS
2020-01-08,360ONE,SHORT,277.55,278.73,100,-117.69,24.93,-142.62,197175,STOP_LOSS
2020-01-09,360ONE,LONG,280.85,282.06,100,120.73,25.23,95.50,197270,TARGET
2020-01-09,360ONE,LONG,281.90,284.65,100,274.97,25.40,249.56,197520,TARGET
2020-01-10,360ONE,LONG,291.70,292.36,100,66.28,26.17,40.10,197560,TARGET
2020-01-10,360ONE,LONG,292.00,291.23,100,-76.84,26.13,-102.97,197457,STOP_LOSS
2020-01-13,360ONE,SHORT,288.00,285.80,100,219.73,25.70,194.03,197651,TARGET
2020-01-13,360ONE,SHORT,285.90,280.32,100,558.11,25.34,532.77,198184,TARGET
2020-01-15,360ONE,LONG,288.70,294.74,100,603.72,26.18,577.54,198761,TARGET
2020-01-15,360ONE,LONG,294.45,291.61,100,-284.47,26.25,-310.72,198450,STOP_LOSS
2020-01-16,360ONE,LONG,294.50,298.90,100,439.77,26.61,413.16,198864,TARGET
2020-01-16,360ONE,LONG,296.25,298.33,100,208.02,26.65,181.37,199045,TARGET
2020-01-17,360ONE,LONG,303.40,305.65,100,225.03,27.30,197.73,199243,TARGET
2020-01-17,360ONE,LONG,310.50,318.89,100,838.68,28.25,810.43,200053,TARGET
2020-01-21,360ONE,LONG,336.25,346.92,100,1066.95,30.67,1036.28,201089,TARGET
2020-01-21,360ONE,LONG,344.45,341.81,100,-264.50,30.74,-295.24,200794,STOP_LOSS
